Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label_x,Label_y,mean_return,volatility
1/2/2020,2020,1,2,Thursday,0,2020-00,139.79,141.1,139.26,141.09,10803700,132.02,0.0,129.3335714,123.5898,Red,Red,-0.659,0.9319667376038697
1/3/2020,2020,1,3,Friday,0,2020-00,137.5,139.23,137.08,138.34,10386800,130.28,-1.318,129.4142857,123.86,Red,Red,-0.659,0.9319667376038697
1/6/2020,2020,1,6,Monday,1,2020-01,136.56,138.27,136.5,138.23,10259000,130.17,-0.084,129.5685714,124.1218,Red,Red,-0.3268,1.0115254322062297
1/7/2020,2020,1,7,Tuesday,1,2020-01,137.28,137.86,135.82,135.88,10531300,127.96,-1.698,129.5292857,124.3412,Red,Red,-0.3268,1.0115254322062297
1/8/2020,2020,1,8,Wednesday,1,2020-01,135.7,137.58,135.6,136.94,9695300,128.96,0.781,129.505,124.5618,Red,Red,-0.3268,1.0115254322062297
1/9/2020,2020,1,9,Thursday,1,2020-01,138.05,138.23,137.04,137.44,9469000,129.43,0.364,129.5235714,124.7828,Red,Red,-0.3268,1.0115254322062297
1/10/2020,2020,1,10,Friday,1,2020-01,137.21,137.25,135.81,136.07,10190900,128.14,-0.997,129.4964286,124.9796,Red,Red,-0.3268,1.0115254322062297
1/13/2020,2020,1,13,Monday,2,2020-02,136.19,137.2,135.76,137.2,12355200,129.2,0.827,129.5521429,125.2106,Green,Green,0.316,1.053110867857701
1/14/2020,2020,1,14,Tuesday,2,2020-02,137.94,140.76,137.69,138.8,24906000,130.71,1.169,129.7185714,125.487,Green,Green,0.316,1.053110867857701
1/15/2020,2020,1,15,Wednesday,2,2020-02,137.85,138.6,136.15,136.72,16293400,128.75,-1.5,129.7192857,125.6704,Green,Green,0.316,1.053110867857701
1/16/2020,2020,1,16,Thursday,2,2020-02,137.45,137.9,136.84,137.25,10783800,129.25,0.388,129.6585714,125.8446,Green,Green,0.316,1.053110867857701
1/17/2020,2020,1,17,Friday,2,2020-02,137.54,138.29,137.32,138.2,14697700,130.15,0.696,129.6557143,126.0316,Green,Green,0.316,1.053110867857701
1/21/2020,2020,1,21,Tuesday,3,2020-03,137.19,138.07,136.69,136.84,8474200,128.86,-0.991,129.5942857,126.189,Red,Red,-0.92225,1.1193627279245395
1/22/2020,2020,1,22,Wednesday,3,2020-03,137.24,137.4,136.38,136.68,7549100,128.71,-0.116,129.4707143,126.3304,Red,Red,-0.92225,1.1193627279245395
1/23/2020,2020,1,23,Thursday,3,2020-03,135.71,136.74,134.72,136.54,9345700,128.58,-0.101,129.225,126.462,Red,Red,-0.92225,1.1193627279245395
1/24/2020,2020,1,24,Friday,3,2020-03,136.37,136.43,132.32,133.15,15166400,125.39,-2.481,128.8757143,126.5384,Red,Red,-0.92225,1.1193627279245395
1/27/2020,2020,1,27,Monday,4,2020-04,130.27,132.94,129.71,132.03,12860500,124.33,-0.845,128.4585714,126.6078,Red,Red,-0.10579999999999998,1.7511728070067785
1/28/2020,2020,1,28,Tuesday,4,2020-04,132.84,134.97,132.48,134.43,13062800,126.6,1.826,128.3614286,126.7354,Red,Red,-0.10579999999999998,1.7511728070067785
1/29/2020,2020,1,29,Wednesday,4,2020-04,134.81,135.54,133.69,134.23,9326000,126.41,-0.15,128.1792857,126.857,Red,Red,-0.10579999999999998,1.7511728070067785
1/30/2020,2020,1,30,Thursday,4,2020-04,132.69,136.13,132.69,135.89,9048900,127.97,1.234,128.075,126.9924,Red,Red,-0.10579999999999998,1.7511728070067785
1/31/2020,2020,1,31,Friday,4,2020-04,134.49,134.83,131.47,132.36,12785200,124.65,-2.594,127.8257143,127.041,Red,Red,-0.10579999999999998,1.7511728070067785
2/3/2020,2020,2,3,Monday,5,2020-05,132.66,134.24,132.66,133.37,10021100,125.6,0.762,127.5685714,127.1092,Green,Green,0.7194,0.8727458392911421
2/4/2020,2020,2,4,Tuesday,5,2020-05,135.55,136.6,135.08,135.29,9157100,127.4,1.433,127.3321429,127.2312,Green,Green,0.7194,0.8727458392911421
2/5/2020,2020,2,5,Wednesday,5,2020-05,136.57,137.73,136.01,137.59,10150700,129.57,1.703,127.3907143,127.391,Green,Green,0.7194,0.8727458392911421
2/6/2020,2020,2,6,Thursday,5,2020-05,138.24,138.29,137.11,137.61,8992300,129.59,0.015,127.415,127.5352,Green,Green,0.7194,0.8727458392911421
2/7/2020,2020,2,7,Friday,5,2020-05,136.73,137.67,136.3,137.17,6379800,129.18,-0.316,127.3457143,127.658,Green,Green,0.7194,0.8727458392911421
2/10/2020,2020,2,10,Monday,6,2020-06,136.95,137.85,136.75,137.74,5960700,129.71,0.41,127.4064286,127.7882,Green,Green,0.042199999999999994,0.2715275308325106
2/11/2020,2020,2,11,Tuesday,6,2020-06,138.26,138.82,137.78,138.0,6578600,129.96,0.193,127.4957143,127.916,Green,Green,0.042199999999999994,0.2715275308325106
